1,"裡面;左邊;上面;右邊;下面;周圍;外面"
1,"柚子;扣眼;領子;袖口;拉鍊;扣子;口袋"
1,"密碼鎖;車鑰匙;大門鑰匙;門栓;開鎖工具;掛鎖;腳踏車鎖"
1,"樹;蕈菇;青苔;草;蕨;灌木;花"
1,"沙坑;旋轉木馬;溜滑梯;繩梯;蹺蹺板;跳跳床;單槓"
1,"衣服;鞋子;食物;藥物;護髮用品;飲料;化妝品"
1,"小腿;大腿;背;手腕;肚皮;屁股;前臀"
1,"牙籤;螺絲釘;釘子;針筒;別針;鉤針;大頭針"
1,"長袍;大禮服;披肩;連身裙;頭巾;裙子;面紗"
1,"無名指;小指;食指;大拇指;指關節;手掌;中指"
1,"洋娃娃;積木;泰迪熊;玩具飛機;木馬;玩具兵;玩具火車"
1,"弓;鐵鎚;劍;矛;斧;盾;十字弓"
1,"鼻孔;嘴唇;牙齒;眉毛;眼瞼;眼睛;鼻子"
1,"鎖;絞鏈;門把;門;門鈴;門檻;鑰匙孔"
1,"圓形;圓錐體;圓柱體;立方體;三角形;長方形;正方形"
1,"跪;蹲;躺;站;坐;右腳獨立;左腳獨立"
1,"青蛙;蜥蜴;蝸牛;海豚;鯊魚;鯨魚;蛇"
1,"耙子;園藝用手鏟;鋤頭;鏟子;十字鎬;乾草叉;斧頭"
1,"蓮霧;釋迦;芒果;棗子;榴槤;荔枝;龍眼"
1,"葡萄酒杯;茶杯;馬克杯;碗;盤;水杯;茶杯托盤"
1,"河馬;龍;犀牛;飛馬;斑馬;獨角獸;鱷魚"
1,"時裝人體模型;麥當勞叔叔;機器人;碰撞實驗室用假人;木偶;稻草人;雕像"
1,"排水口;洗手台;澡盆;馬桶;水龍頭;蓮蓬頭;流理台"
1,"太空梭;火車;巴士;飛機;直升機;卡車;汽車"
1,"公尺;秒;公克;公斤;公釐;公里;公升"
1,"籃球架;足球門;網球網;曲棍球門;排球網;桌球網;高爾夫球洞"
1,"木筏;救生衣;游泳圈;橡膠艇;帆船;獨木舟;蒸汽船"
1,"飯;肉;蔬菜;水果;義大利麵;麵包;乳酪"
1,"櫻桃;西瓜;草莓;藍莓;李子;洋梨;蘋果"
1,"台北;東京;紐約;上海;傳真機;慕尼黑;巴黎"
1,"網球拍;球棒;高爾夫球桿;滑雪桿;雪橇;曲棍球棒;釣魚桿"
1,"海灘球;氣球;熱氣球;網球;溜溜球;足球;古式圓形砲彈"
1,"蝴蝶;蒼蠅;甲蟲;螞蟻;蜘蛛;黃蜂;蜈蚣"
1,"麥克風;護耳套;立體聲揚聲器;擴音器;耳塞式耳機;頭戴式耳機;電話"
1,"狗;兔子;熊;老鼠;蝙蝠;刺蝟;貓"
1,"牛排刀;杓子;茶匙;湯匙;奶油刀;烤肉叉;叉子"
1,"滑翔翼;自由落體;懸崖跳水;高空彈跳;高空跳傘;熱氣球;攀岩"
1,"單行道;禁止停車;禁止進入;平交道;學校;小心落石;停止"
1,"長板凳;咖啡桌;櫥櫃;床;床頭櫃;餐桌;會議桌"
1,"以頭倒立;以手倒立;引體向上;側空翻;翻筋斗;仰臥起坐;伏地挺身"
1,"指甲刀;髮髻;電動刮鬍刀;指甲銼刀;梳子;拋棄式刮鬍刀;牙刷"
1,"襪子;靴子;襯衫;西裝褲;短褲;鞋子;T恤"
2,"導盲犬;緝毒犬;警犬;牧羊犬;獵犬;護衛犬;寵物犬"
2,"果汁;啤酒;水;汽水;香檳;牛奶;葡萄酒"
2,"花生醬;果醬;芥末醬;辣椒醬;酸黃瓜醬;番茄醬;美乃滋"
2,"草坪;花圃;陽台;頂樓花園;觀石庭園;溫室;菜園"
2,"烤箱;烘衣機;電冰箱;冷凍櫃;洗衣機;洗碗機;微波爐"
2,"抽血;血小板;血漿;輸血;白血球;紅血球;血液"
2,"狗食盆;遮雨棚;雞舍;狗屋;鳥屋;鳥巢;野外小屋"
2,"核能發電廠;煉油廠;燃煤發電廠;油田;水力發電大壩;煤礦場;風力發電廠"
2,"山羊;馬;驢子;小牛;綿羊;公牛;乳牛"
2,"青花菜;白蘿蔔;番茄;南瓜;茄子;小黃瓜;馬鈴薯"
2,"水煮蛋;炒蛋;荷包蛋;蛋餅;燒餅;油條;小籠包"
2,"嬰兒;女人;老男人;男人;小男孩;老女人;小女孩"
2,"陶罐;水壺;派盤;製冰盒;烤盤;平底鍋;炒菜鍋"
2,"火焰;炭烤爐;烤箱;木炭;壁爐;營火;瓦斯爐"
2,"購物車;自行車;重型機車;運礦車;三輪車;四輪越野車;摩托車"
2,"動物園;穀倉;牧場;野生動物保護區;公園;花園;農場"
2,"碗豆公主;白雪公主;美女與野獸;睡美人;小紅帽;灰姑娘;長髮公主"
2,"棒球帽;自行車安全帽;美式足球頭盔;包頭巾;牛仔帽;毛線帽;機車安全帽"
2,"網球;乒乓球;排球;羽球;棒球;籃球;高爾夫球"
2,"湯;前菜;主菜;沙拉;配菜;甜點;飲料"
2,"寶石;珍珠;項鍊;獎章;手環;珠子;皇冠"
2,"外套;襯衫;T恤;運動衫;休閒衫;毛衣;大衣"
2,"休息;工作;學習;運動;遊戲;烹飪;走路"
2,"救護車;推土機;消防車;挖土機;挖吊車;垃圾車;警車"
2,"狼來了;傑克與魔豆;金髮女孩與三隻熊;山羊三兄弟;吹笛子的人;三隻小豬;龜兔賽跑"
2,"天鵝;火雞;雉雞;小雞;公雞;孔雀;鴨子"
2,"礦工;珠寶匠;鐵匠;水電工;伐木工;木匠;園丁"
2,"哈利波特;駭客任務;魔鬼終結者;異形;魔界;星際大戰;阿凡達"
2,"大提琴演奏家;吉普賽小提琴手;月琴演奏家;小提琴演奏家;吉他手;貝斯手;豎琴演奏家"
2,"火車駕駛員;自行車選手;摩托車駕駛;耕耘機駕駛;行人;卡車司機;公車司機"
2,"派;煎餅;餅乾;蔥油餅;披薩;可麗餅;蘿蔔糕"
2,"橘子;水梨;鳳梨;檸檬;葡萄柚;奇異果;柳丁"
2,"百合;蒲公英;雛菊;鬱金香;康乃馨;向日葵;玫瑰"
2,"扮家家酒;捉迷藏;官兵抓強盜;扮成大人;騎馬打仗;老鷹捉小雞;醫生與病人"
2,"精靈;矮人;小仙女;食人魔;哥布林;樹人;巨人"
2,"緊身褲;運動褲;緊身衣;內衣;褲襪;襪子;絲襪"
2,"麥克筆;鋼珠筆;蠟筆;粉筆;螢光筆;水彩筆;鉛筆"
2,"洗碗;掃地;洗衣;吸地板;倒垃圾;撣灰陳;洗窗戶"
2,"燭光;極光;閃電;月光;燈光;陽光;星光"
2,"腰果;核桃;杏仁;花生;開心果;葡萄乾;瓜子"
2,"綠色;藍色;紅色;黃色;紫色;粉紅色;棕色"
2,"演員;教師;新聞主播;播音員;作家;秘書;導演"
2,"網球鞋;繡花鞋;登山鞋;雨鞋;涼鞋;皮鞋;拖鞋"
2,"除夕;大年初一;情人節;端午節;中秋節;耶誕節;國慶日"
2,"雕塑家;律師;指揮家;會計師;牙醫;醫生;殯葬禮儀師"
2,"傳真機;筆記型電腦;收音機;影印機;印表機;電視機;桌上型電腦"
2,"足球員;潛水夫;冰上曲棍球員;美式足球員;滑雪板運動員;滑雪運動員;登山家"
2,"青椒;胡蘿蔔;花椰菜;包心菜;洋蔥;四季豆;大蒜"
2,"鳳凰木;楓樹;椰子樹;羊蹄甲;柏樹;松樹;榕樹"
2,"化工廠;鐵工廠;紡織廠;兵工廠;汽車工廠;造紙廠;釀酒廠"
2,"方向燈;火星塞;排檔桿;後照鏡;方向盤;油門;剎車"
2,"地下道;人行道;泥土路;街道;交流道;高速公路;高架道路"
2,"惡靈;殭屍;鬼魂;骷髏;狼人;木乃伊;吸血鬼"
2,"松鼠;兔子;老鼠;水獺;貂;天竺鼠;白老鼠"
3,"盆地;沼澤;山麓;三角洲;山峰;沙漠;高原"
3,"朗誦;尖叫;大喊大叫;唱歌;悄悄話;說話;吹口哨"
3,"行星;彗星;銀河;小行星;超級新星;黑洞;星雲"
3,"在前面;在裡面;進入;穿過;在上面;在下面;在後面"
3,"大;深;微;小;低;淺;高"
3,"溪谷;峭壁;峽谷;斷崖;丘陵;山谷;山岳"
3,"滑雪護目鏡;老花眼鏡;單筒望遠鏡;太陽眼鏡;雙筒望遠鏡;歌劇用小望遠鏡;蛙鏡"
3,"大肚魚;金魚;鮪魚;鯉魚;比目魚;鮭魚;小丑魚"
3,"美洲野牛;水牛;麋鹿;羚羊;梅花鹿;山羌;長頸鹿"
3,"賽跑;障礙賽跑;走路;十項運動;馬拉松;衝刺;接力賽"
3,"陌生人;暴徒;強盜;騙子;小偷;外國人;色狼"
3,"公共廁所;工具房;茅草屋;小木屋;馬戲帳篷;遮雨棚;露營帳篷"
3,"海嘯;洪水;颱風;雷雨;旱災;土石流;地震"
3,"城鎮;市區;城市;住宅區;鄰居;村莊;郊區"
3,"嫦娥;鐵扇公主;白骨精;林黛玉;媽祖;觀世音菩薩;貂蟬"
3,"洗面巾;浴巾;手帕;被套;毯子;桌巾;餐墊"
3,"躲避球;足球;籃球;棒球;保齡球;手球;排球"
3,"老鷹;麻雀;貓頭鷹;烏鴉;鴿子;啄木鳥;燕子"
3,"地下室;廚房;客廳;餐廳;臥室;浴室;嬰兒房"
3,"賽跑;單腳跳;慢跑;健行;蹣跚而行;散步;走路"
